,datetime,name,category,duration_ms,penalty_points
13,2019-04-30,YouTube,Entertainment,670238,99.98635705702799
6,2019-04-30,Paco,Entertainment,133713,99.98452026265346
9,2019-04-30,TouchWiz 홈,Entertainment,329333,99.9820259426847
54,2019-05-01,알파카,Other,242437,99.59639278147904
55,2019-05-01,원터치개인,Other,996,99.29283829861076
48,2019-05-01,문피아,Other,5376349,99.00089149084347
47,2019-05-01,모바일결제 ISP,Other,13281,99.00057037139516
31,2019-05-01,Chrome,Other,1962737,98.98800725482008
58,2019-05-01,카카오페이지,Communication,618507,96.62199628443268
46,2019-05-01,메시지,Communication,10136,96.0063989753086
40,2019-05-01,T전화 통화,Communication,2345,94.24132274285549
39,2019-05-01,T전화,Communication,406021,94.01447010118014
57,2019-05-01,카카오톡,Communication,345510,93.88635331750216
59,2019-05-01,트위터,Communication,6311082,92.43303626835277
43,2019-05-01,네이버 웹툰,Entertainment,193730,89.31717407056242
44,2019-05-01,리디북스,Entertainment,688510,86.78716374019628
52,2019-05-01,시계,Entertainment,142626,86.5562481392284
30,2019-05-01,ABC Logger,Entertainment,1249,86.52932610826389
35,2019-05-01,Paco,Entertainment,117061,85.97872321712941
42,2019-05-01,YouTube,Entertainment,2050505,85.50531276432099
38,2019-05-01,TouchWiz 홈,Entertainment,419170,85.50276042534637
91,2019-05-02,카카오택시,Other,115304,96.36217571722271
84,2019-05-02,문피아,Other,815374,95.55462114292312
62,2019-05-02,Chrome,Other,10830967,95.4771554476838
81,2019-05-02,마이리틀셰프,Other,5719329,93.67185666455012
93,2019-05-02,카카오페이지,Communication,297101,90.32618510308637
75,2019-05-02,T전화 통화,Communication,526,89.74517955728322
74,2019-05-02,T전화,Communication,56346,89.5178854326642
83,2019-05-02,메시지,Communication,52157,86.40383503229125
92,2019-05-02,카카오톡,Communication,1255306,82.16747455995296
94,2019-05-02,트위터,Communication,5326455,81.90981060405088
79,2019-05-02,네이버 웹툰,Entertainment,101702,75.72470521526571
87,2019-05-02,시계,Entertainment,304240,63.13242674907359
70,2019-05-02,Paco,Entertainment,329715,63.04158519835772
67,2019-05-02,Google Play 스토어,Entertainment,551,62.99965962046548
